cmdty,tick.prefix
cbotoat,O
cbotroughrice,RR
cbotsoybean,S
cbotsoybeanmeal,SM
cbotsoybeanoil,BO
cbotwheatKW,KW
cbotwheatW,W
cmecorn,C
cmefeedercattle,FC
cmeHU,HU
cmeleanhogs,LH
cmelivecattle,LC
cmelumber,LB
cmeng,NG
cmerbob,RB
cmeulsd,HO
cmewti,CL
comexcopper,cmxHG
comexgold,cmxGC
comexsilver,cmxSI
icebrent,LCO
icegasoil,LGO
icesugar5,QW
lmealum,lmeALUM
lmecopper,lmeCOPPER
lmelead,lmeLEAD
lmenickel,lmeNICKEL
lmetin,lmeTIN
lmezinc,lmeZINC
mgexwheat,MW
nybotcocoa,CC
nybotcoffee,KC
nybotcotton2,CT
nybotfcoj,JO
nybotsugar11,SB
nymexpalladium,PA
nymexplatinum,PL
